(עבודה עיקרית כשכיר על פי הגדרת המשיב בשאלון)","אחוז שכירים בני 15 ומעלה, לפי עשירוני הכנסה מעבודה 10-9
(עבודה עיקרית כשכיר על פי הגדרת המשיב בשאלון )","הכנסה חציונית שנתית מעבודה של עצמאים
(עבודה עיקרית כעצמאי על פי הגדרת המשיב בשאלון)","אחוז עצמאים בני 15 ומעלה, לפי עשירוני הכנסה מעבודה 10-9
(עבודה עיקרית כעצמאי על פי הגדרת המשיב בשאלון)",סך הכל משקי בית,ממוצע נפשות במשק הבית,אחוז משקי הבית שבהם בני 5-0,אחוז משקי הבית שבהם בני 25-18,סמל אורח חיים עיקרי למשק בית,שם אורח חיים עיקרי למשק בית,ממוצע מחשבים במשק הבית ,אחוז משקי הבית שלא עומד לרשותם כלי רכב,אחוז משקי הבית שעומדים לרשותם שני כלי רכב ויותר,אחוז משקי הבית שעומדת לרשותם חנייה,אחוז משקי הבית הגרים בדירה בבעלות,אחוז משקי הבית הגרים בדירה בשכירות
LocNameHeb,LocalityCode,StatArea,StatAreaCmb,pop_approx,change_pcnt,pop_density,religion,ReligionHeb,sexRatio,inst_pcnt,Foreign_pcnt,age0_19_pcnt,age20_64_pcnt,age65_pcnt,DependencyRatio,age_median,m_age_median,w_age_median,married18_34_pcnt,married45_54_pcnt,j_isr_pcnt,j_abr_pcnt,aliya2002_pcnt,aliya2010_pcnt,israel_pcnt,asia_pcnt,africa_pcnt,europe_pcnt,america_pcnt,shem_eretz1,MarriageAge_mdn,m_MarriageAge_mdn,w_MarriageAge_mdn,ChldBorn_avg,koshi5_pcnt,koshi65_pcnt,AcadmCert_pcnt,WrkY_pcnt,Empl_pcnt,SelfEmpl_pcnt,HrsWrkWk_avg,Wrk_15_17_pcnt,WrkOutLoc_pcnt,employeesAnnual_medWage,EmployeesWage_decile9Up,SelfEmployedAnnual_medWage,SelfEmployedWage_decile9Up,hh_total_approx,size_avg,hh0_5_pcnt,hh18_24_pcnt,hh_MidatDatiyut,hh_MidatDatiyut_Name,Computer_avg,Vehicle0_pcnt,Vehicle2up_pcnt,Parking_pcnt,own_pcnt,rent_pcnt
מסילות,298,,,470,-7.8,1300.7,1,יהודים,99.8,,3.2,26.8,48.2,25.1,1075.8,41,40,43,27.9,53.4,78.8,21.2,8.8,5.3,43.6,4.2,5.5,28.1,18.6,ישראל,27,27,26,2.4,7.4,12.8,32.6,71.6,81,9.1,37,33.7,52.2,116700,11.9,41100,,210,2.1,18.4,4,חילוני,1,1.3,34.5,18.4,54.6,65.2,22.9
מסילת ציון,742,,,930,-11.4,2501.2,1,יהודים,84,,1.5,31.8,59.4,8.8,682.6,33,34,32,15.9,78.3,88.8,11.2,8.5,5.9,51.9,27.9,4.8,13.1,2.3,ישראל,26,28,24,1.7,1.8,14.1,32.7,82.7,74.7,25.3,38.8,20.2,87.1,130500,30.6,76600,15.9,300,3,16.4,27.5,חילוני,1,1.9,2.4,55.2,92.3,57,26.4
מסלול,748,,,850,27,1659.3,1,יהודים,84.2,,6.6,36.2,56.3,7.5,776.1,28,30,26,41.3,81.3,93.3,6.7,7.2,4.4,61.9,13.5,15.6,7.7,1.3,ישראל,25,26,24,2.1,5.6,44.6,22.9,73.4,87,12.4,37.9,17.3,83.1,107500,26.3,108900,14.6,210,3.7,31.3,25.3,מסורתי,2,1.4,12.4,61.7,87.6,59.6,29.6
מסעדה,4203,,,4090,35.4,4217.6,5,דרוזים,89.1,,0,39.3,55.1,5.6,815.9,27,29,26,35.1,89.1,,,,,,,,,,,24,28,21,2.3,12.9,71.1,14.5,59.8,79.6,19.7,32.9,5.8,52.7,55100,7,62700,13.4,1120,3.6,29.9,27,חילוני,1,1.1,18.1,45.4,79.1,82.4,3
מעברות,197,,,960,3.5,3322.6,1,יהודים,98.1,1.8,2.6,33.1,45.3,21.6,1209.4,39,37,41,14.8,68.5,88,12,13.6,6.2,60.2,3.9,3,23.8,9,ישראל,26,27,26,2.3,5.7,18.9,41.3,67.3,58.1,5.1,39.4,18.8,51.4,118500,24.6,45500,,360,2.6,19,11.2,חילוני,1,1.9,29.6,19.9,30.2,3.9,3.1
מעגלים,1082,,,1290,-31.6,3145.1,1,יהודים,115,,3.3,31.7,62.7,5.6,593.9,27,27,27,30.9,94.5,95.1,4.9,11,2.9,60.6,10.9,26.3,1.4,0.8,ישראל,25,26,23,2.4,5.7,49.3,22.8,76.4,87.8,12.2,38,12.6,89.9,102200,19.5,85900,20.4,360,3.5,12.9,39.9,דתי/ דתי מאוד,3,1.6,11.9,48,85.4,68.5,17.4
מעגן,678,,,820,14.5,2719.2,6,דת אחרת,176.7,,52.6,17.8,76.4,5.8,308.9,27,26,27,37.7,62.8,,,,,,,,,,,28,28,26,1.8,2.3,9.8,26,84.4,86.9,6.5,42,54.4,52,117000,21.7,94000,11.8,170,2.3,18.8,13.6,חילוני,1,1.4,17.7,30.3,45.5,24.6,56.3
מעגן מיכאל,694,,,2070,35.5,2790.5,1,יהודים,100,3.1,2.7,34.6,49.4,16.1,1026,35,32,37,9.9,67.9,82.8,17.2,30.5,25.9,57.1,4.8,6.4,20.6,11,ישראל,27,28,26,1.9,6.6,28.6,44.3,73.3,42.8,2.7,38,32.7,24.5,115900,27.2,48400,,820,2.4,17.5,17.8,חילוני,1,1.7,59.7,5.5,20.9,4.7,7.2
מעוז חיים,272,,,520,9.8,1631.4,1,יהודים,120.6,,5.6,28.2,51.2,20.5,951.9,36,32,40,18.4,82.3,87.1,12.9,34.8,22.3,53.7,6,8.2,23.9,8.3,ישראל,26,29,25,2.2,4.5,10.9,30.2,75.5,90.4,8.4,43.3,49.8,43.3,130600,24.5,87900,5.2,220,2.3,15.1,21.7,חילוני,1,1.4,26.4,27.8,58.4,26.7,29.2
מעון,3657,,,710,105.3,4424.9,1,יהודים,87.9,6.8,0.7,51,48.3,0.7,1072.2,19,20,19,43.6,84.5,92.9,7.1,47.1,27.7,72.8,2.7,5.7,10.8,8,ישראל,22,23,21,3.2,4.2,100,30.7,76.4,82.5,14.6,34,24.8,68.2,93800,11.7,45600,,150,4.5,47.2,36,דתי/ דתי מאוד,3,1.4,17.7,44.1,59.4,60.2,32.4
מעונה,570,,,1090,50.8,1430.8,1,יהודים,116.6,,4.6,36.1,54,9.8,850.3,32,31,33,22.7,83.1,87.3,12.7,8.3,3.7,51.8,4.4,24.2,17.5,2,ישראל,25,27,23,2.4,8.9,42.3,21.1,69,77.6,21.8,44.5,7.6,64.6,141900,29.1,124600,19.8,310,3.3,19.9,22.8,חילוני,1,1.5,6.2,51.5,84.9,63.1,27.1
מעיין ברוך,416,,,720,37.8,2410,1,יהודים,110.5,7.1,2.4,36.2,50.8,13,967.3,29,28,31,7.2,71.8,89.8,10.2,17.5,11.1,62,5,10.7,15.7,6.6,ישראל,27,27,26,1.7,1.6,6.9,34.6,77.3,77.9,16.7,39.2,19.9,58.8,108600,22,76800,4.9,270,2.4,14.9,13.6,חילוני,1,1.6,5.5,37.5,66.3,41.9,36.4
מעיין צבי,290,,,800,55.8,5341.7,1,יהודים,82.4,,1,32.4,48.9,18.7,1047,38,39,36,18.5,76,86.3,13.7,15.6,13.7,56.2,3.4,4.9,28.8,6.7,ישראל,27,28,26,2,8.1,25.1,36.2,67.4,72.3,23.7,40.6,15.9,68.9,139600,20.7,89000,27.1,280,2.9,18.6,12.2,חילוני,1,1.6,7.8,45.6,67.7,33.1,33.5
מעיליא,518,,,3270,14.3,2793.7,3,נוצרים,103.2,3.9,1,25.6,57.5,16.9,739.9,39,37,41,27.4,89.9,,,,,,,,,,,26,28,23,2.3,12.8,57.1,30.5,63.8,82.8,17.2,38.7,3.8,55.5,126300,23.4,110800,27.6,990,3.1,17.1,23.6,מסורתי,2,1.6,17,59.8,87.5,79.6,5.4
מעלה אדומים,3616,,,36660,8.7,6654.1,1,יהודים,95.6,2.3,0.5,34.1,53.8,12.1,859.8,30,28,32,31.3,81.7,79,21,29,13.3,51.3,10.6,14.6,18.6,5,ישראל,24,25,23,2.2,6.1,25.1,25.9,74.4,90.8,9.1,40,21.9,65.9,120300,20.6,81300,19.9,10980,3.3,21.3,28.4,מסורתי,2,1.5,19.5,37.3,51.9,75.1,20.1
מעלה אדומים,3616,12,12+11,4000,,,1,יהודים,104.1,,,41.6,52.1,6.4,920.1,24,23,27,24.2,84.7,90.1,9.9,20.8,8.5,64.9,9.7,13.2,10.8,1.5,ישראל,25,25,24,2.1,4.6,24.6,21,76.6,92,8,43.5,26.4,74.6,137500,23.6,140000,32.8,1080,3.6,24.6,28.7,מסורתי,2,1.4,8,52,88.2,73.6,18.6
מעלה אדומים,3616,13,13,4150,,,1,יהודים,96,,,40.2,52.2,7.7,916,27,25,30,27.1,85,86.9,13.1,17,8.8,61.7,9.8,11.6,14.9,2,ישראל,25,26,24,2.2,5.2,39.8,25.1,79.5,91.5,8.5,40.4,28.1,73.5,139900,25.8,91400,20.9,1140,3.6,24,30.4,מסורתי,2,1.5,10.1,52,93.5,82.6,13.5
מעלה אדומים,3616,14,14,1930,,,1,יהודים,97.1,,,35.1,56.2,8.7,778.3,27,26,29,21.6,82.6,82.9,17.1,19.1,12,55.1,11.4,11.4,20.4,1.7,ישראל,24,25,23,1.9,4.4,28,25.8,74,92.5,7.5,40.7,18.9,76.1,132800,24.8,75100,21.7,550,3.6,15.9,40.7,מסורתי,2,1.6,13.1,44.9,92,90.7,6.4
מעלה אדומים,3616,15,15,2870,,,1,יהודים,93.6,,,40.3,51.2,8.4,951.4,27,25,29,27.8,81.8,87.3,12.7,14.4,5.9,60.8,10.7,12.4,14.3,1.7,ישראל,24,25,23,1.9,4.9,27.5,22.3,76.8,93.7,6.3,41.8,21.2,67.4,126900,20.2,92300,25.8,800,3.5,24.7,29.6,מסורתי,2,1.3,14,40.6,83.6,76.2,22
מעלה אדומים,3616,21,21,2730,,,1,יהודים,88.9,,,32.6,51.1,16.3,957.2,34,34,34,28.6,80.8,74.6,25.4,29.8,14.1,43.9,12,16.5,23.2,4.4,ישראל,23,25,22,2.5,8,22.7,26.3,66.3,83.6,16.4,38.8,17.8,58.5,120900,17.1,76800,9.9,920,3,18.9,20.7,מסורתי,2,1.3,26.2,29.6,34.9,70.9,24.8
מעלה אדומים,3616,22,22,1970,,,1,יהודים,93.5,,,37.7,49.2,13.1,1032.8,29,27,30,63.6,48.5,71.5,28.5,42.1,14.9,45.6,7.6,20.1,22.7,4,ישראל,24,25,23,2.4,8.6,37.8,24.5,75.2,92.9,6.7,38.9,3.9,60.3,104100,8.1,67900,13,650,3.1,31.1,14.4,דתי/ דתי מאוד,3,1.3,37.4,15.7,21.1,73.5,23.8
מעלה אדומים,3616,23,23,3650,,,1,יהודים,93.9,,,30.9,51.7,17.4,933.7,33,30,35,38.9,74.7,60.1,39.9,39.7,16.1,32.5,7.8,23.4,30.4,5.9,ישראל,24,25,23,2.2,7,25.4,27.7,69.4,90.7,9,37.1,9.5,56.9,92100,8.6,52800,15.4,1240,2.9,22.9,23.9,דתי/ דתי מאוד,3,1.5,40.2,18,30.4,69.5,26.9
מעלה אדומים,3616,24,24,2960,,,1,יהודים,114.1,,,35.6,54.4,9.9,837.1,26,23,28,34.4,94.7,68.8,31.2,53.8,31.4,40.2,5.1,7.6,15.7,31.5,ישראל,23,24,23,2.5,3.2,14.5,47.7,73.6,87,13,35.8,23.4,50.8,104500,26.2,79300,21.8,820,3.4,21.4,31,דתי/ דתי מאוד,3,2.2,25.6,31.4,40.8,59.1,32.4
מעלה אדומים,3616,31,31,3130,,,1,יהודים,101.5,,,26.9,58.1,14.9,720.6,35,31,38,25.1,85,80.7,19.3,20.6,10.2,49.8,15.1,15.5,17.6,2,ישראל,24,25,23,2.1,6.2,19.9,22.3,70.8,89.9,10.1,39.5,17.2,65.1,116500,19.1,83800,18.3,1050,3,13.6,28,מסורתי,2,1.4,17.6,38.5,22.5,74,20.6
מעלה אדומים,3616,32,32,3830,,,1,יהודים,83.5,,,26.6,54.7,18.7,828.1,37,39,36,31.6,83.7,77.3,22.7,15.7,5.8,49,13.9,15.2,19.6,2.3,ישראל,25,26,24,2.1,5.9,15,23,75.7,92.6,7.4,42.2,34.4,68.3,131600,21.8,44600,12.4,1030,3.2,19.7,30.4,מסורתי,2,1.5,9.1,37.2,41.6,78.6,17.2
מעלה אדומים,3616,33,33,4620,,,1,יהודים,92.6,,,30.8,57.7,11.6,733.6,31,29,33,29.4,76.5,82.9,17.1,15.7,6.3,55.3,11.4,13.8,17.7,1.8,ישראל,25,26,24,2,8.2,31.2,22.1,77.7,91,8.8,39.7,22.9,67.3,122100,22.9,95700,23.4,1440,3.1,19.6,33.5,מסורתי,2,1.5,16.5,45.2,34.9,79.4,13.3
מעלה אדומים,3616,34,34,830,,,1,יהודים,89.6,,,28.3,56.6,15,765.4,37,38,34,26.9,86.5,79.6,20.4,20.5,7,47,13.8,15.5,22,1.6,ישראל,24,25,23,2.3,7.2,12.4,30.4,72.3,93.9,6.1,40.5,14.7,66.1,120600,30.5,142700,40.9,250,3.3,18.1,25,חילוני,1,1.4,20.6,28.5,59,76.7,23.3
מעלה אפרים,3608,,,1640,25.6,2595.4,1,יהודים,114.9,6.1,0.4,44,46.4,9.5,1153.9,24,22,28,28.5,67.2,80.8,19.2,18.9,7.3,55.2,5.8,7.7,23.6,7.7,ישראל,23,24,22,2.5,6.7,20.2,21.7,72.8,88,10.9,34.1,34.5,56.3,81600,9.5,64500,12.8,450,3.4,25.1,20,חילוני,1,1.4,23.1,29.2,44.5,62.2,35.9
מעלה גלבוע,1127,,,830,77.7,3203.1,1,יהודים,141.4,7.8,2.4,59.4,35.3,5.4,1836.7,17,18,16,26.4,100,92.2,7.8,30.4,20.8,71.5,1.6,3.3,10.6,13,ישראל,24,25,23,3.3,0.6,,60.1,87.9,83.2,12.2,35.3,60.8,58.8,123700,17.4,60300,17,170,4.4,41.2,14.1,דתי/ דתי מאוד,3,2.2,4.7,56.5,70.7,55.6,30.5
מעלה גמלא,4008,,,650,55.2,1517.9,1,יהודים,125.5,,10.7,37.5,50.9,11.5,963.8,31,30,32,43.6,84.3,92.1,7.9,36.6,28.3,69.3,3.6,4,20,3.1,ישראל,26,27,26,2.3,1.9,5.8,44.2,89.2,62.3,36.8,35,24.2,51.2,134700,24.8,84600,29.1,190,3.1,29.4,8.6,חילוני,1,2,3.8,62.6,88.7,63.9,24.8
מעלה החמישה,286,,,870,120.4,2901.2,1,יהודים,93.3,,0.8,39.8,45.7,14.5,1186.3,35,30,38,22.3,79.8,87.6,12.4,18.6,8.3,63.4,4.8,5.2,16.8,9.8,ישראל,28,29,25,2.4,4.7,22.7,53.3,80.1,87,11.7,38.4,37.8,77.2,181100,45.9,69200,,310,2.9,21.8,6.6,חילוני,1,1.8,12,52.7,66.4,54.5,34.2
מעלה לבונה,3752,,,870,20.8,5436.1,1,יהודים,102.6,6,0.1,51,43.1,5.9,1322.8,19,19,20,58.9,88.9,88.4,11.6,6.7,1.9,63.9,2.5,7.4,16.2,9.9,ישראל,23,24,22,3.2,4.6,43.1,46.2,75.1,93.1,6.9,34.9,40.9,67.2,101100,13.6,58900,,200,4,47.4,21.8,דתי/ דתי מאוד,3,2,12.4,44.3,69.1,61.6,32.9
מעלה מכמש,3651,,,1970,81.2,5960.4,1,יהודים,102.7,2.7,2.7,51.9,44.9,3.2,1229.6,19,19,19,38,90.9,87.1,12.9,25.6,12.7,59.4,2.4,9.9,12.9,15.3,ישראל,24,24,23,2.7,1.4,6.4,39.2,77.5,89.3,10.4,36.2,20.6,68.8,105200,16.9,71400,6.6,440,4.2,38.6,32.8,דתי/ דתי מאוד,3,2.1,11.3,51.5,79.9,55.5,36.5
מעלה עירון,1327,,,14860,17.9,4674.4,2,מוסלמים,107.7,,0,38.4,56.2,5.4,778.5,25,25,25,41.6,93.9,,,,,,,,,,,24,26,22,2.6,13.3,62.6,13,56,87.9,11.2,35.7,6.3,69.1,68800,6.1,70100,12.4,3920,3.8,30.3,31.7,מסורתי,2,0.9,21,30.6,74.5,82.7,5.4
מעלה עירון,1327,1,1,2110,,,2,מוסלמים,109,,,40.3,56.7,3,763.2,23,25,22,48.1,96.5,,,,,,,,,,,23,24,21,2.6,9.9,46.9,10.1,53.5,87.6,11.7,36.2,4.3,60.3,81600,5.8,52400,10.1,480,4.2,36.3,41.9,דתי/ דתי מאוד,3,0.7,16.8,24.7,73.8,78.4,5.2
מעלה עירון,1327,2,2,4680,,,2,מוסלמים,111.5,,,39.3,54.9,5.8,821.5,25,24,26,41.9,93.2,,,,,,,,,,,24,26,22,2.6,14.2,59.8,11.2,57.6,86.6,13.2,34.8,2.7,64.5,68500,5.6,89400,18.6,1220,3.7,30.8,28.8,מסורתי,2,0.8,23,30.9,75.5,81.7,5.9
מעלה עירון,1327,3,3,4250,,,2,מוסלמים,104.9,,,37.3,57.4,5.3,741.1,25,26,25,41,95.5,,,,,,,,,,,24,26,23,2.8,10.6,58.3,10.8,52.6,90.3,8.6,35.1,5.7,72.9,72100,3.7,60900,10,1030,4,31.5,33,דתי/ דתי מאוד,3,0.8,17.2,29.6,74.9,88.4,3
מעלה עירון,1327,4,4,3830,,,2,מוסלמים,105.6,,,37.6,56.2,6.2,778.1,27,26,28,37.8,91.8,,,,,,,,,,,24,26,22,2.5,17.2,75.4,18.4,58.6,86,12.4,36.6,13,74.2,65300,7.6,56100,8.2,1020,3.6,24.6,30.1,מסורתי,2,1,20.5,33.2,73.6,81.9,5.4
מעלה עמוס,3653,,,960,261.1,6883.6,1,יהודים,93.1,,0.1,61.4,38,0.6,1632.8,12,12,12,83.5,90.3,88.9,11.1,25.1,11.9,58.2,0.4,2.1,20,19.3,ישראל,23,23,21,3.3,6.6,,21.8,79.6,82.5,17.5,35.7,17.2,71.6,74600,7.4,49100,2.4,220,5.9,80,36.4,חרדי,4,1.3,18.9,21.5,47.4,57.6,40.2
מעלות-תרשיחא,1063,,,22720,9.6,5528,1,יהודים,101.8,2.3,0.6,29.2,56.1,14.7,782.8,35,34,37,30.5,77.4,57.1,42.9,19.8,12.8,29.7,5.4,14.9,47.3,2.7,ישראל,24,26,22,2.1,11.3,39.7,25.2,67.3,90.9,9.1,40,17.5,50.1,104600,15.1,89000,21.2,7730,2.9,16.5,20.3,חילוני,1,1.3,24.6,34.1,58.2,62.3,28.5
מעלות-תרשיחא,1063,1,1,3990,,,1,יהודים,93.5,,,33.7,58.3,8.1,716.1,34,36,33,21.9,88.5,65.6,34.4,12,6.5,31.5,3,15.2,48.3,2,ישראל,24,26,23,1.9,5,27.1,28.2,75.2,90.6,9.4,42.2,20.2,55.7,125700,21.1,98700,37,1230,3.2,11.9,27.5,חילוני,1,1.7,15.2,47,76.5,74.2,17.9
מעלות-תרשיחא,1063,3,3,3760,,,1,יהודים,106.2,,,20.8,58.7,20.4,702.9,44,42,47,27.7,74.7,40.6,59.4,13,7.5,14.9,1.4,10,72.9,0.7,רוסיה,23,24,22,1.7,16,49.6,23.2,66.7,93.7,6.3,41.9,16.4,49.6,106700,13.3,49600,11.8,1510,2.5,13.4,18.1,חילוני,1,1.1,28.3,26.1,36.6,67,30.8
מעלות-תרשיחא,1063,4,4,4750,,,1,יהודים,112.7,,,33.8,53.4,12.8,871.4,31,28,33,23.4,84.3,70.5,29.5,27.2,18.5,41.7,6.4,19.8,26.2,5.9,ישראל,24,25,23,2.4,6.6,25.1,31.1,67.9,88.7,11.3,39.1,15.1,48.2,104000,17.8,89000,15.8,1440,3.1,16.7,23.4,חילוני,1,1.6,18.6,38.4,63.5,68.6,25.6
מעלות-תרשיחא,1063,5,5,4490,,,1,יהודים,95.4,,,23.3,51.2,25.5,954.8,43,37,49,34.7,51.4,43.2,56.8,25.6,17.7,21.3,10.9,15.5,51.4,1,רוסיה,22,24,21,2.3,19.3,48.1,18.3,57.2,94.2,5.8,37.2,9.5,46.6,88000,6.1,84600,9.7,1850,2.4,13,14.2,חילוני,1,0.9,45,15.2,38,46.1,45.6
מעלות-תרשיחא,1063,6,6,4050,,,2,מוסלמים,103.4,,,29.8,60.3,9.9,657.7,32,31,33,31.5,86.2,,,,,,,,,,,25,28,23,2.2,11.5,35.2,24.8,66.3,89.1,10.9,38.4,22.5,46.8,106300,17.7,114300,25.4,1160,3.4,23,23.7,חילוני,1,1.2,13.2,52.2,73.6,67.5,4.9
מעלות-תרשיחא,1063,8,8,1670,,,1,יהודים,97.9,,,39.2,55.5,5.3,802.2,28,25,29,60.1,64.3,75.1,24.9,17.9,10,46.3,1.8,10,38.2,3.7,ישראל,25,26,23,2.1,5.9,34,27.8,81,86.4,13.2,42,26.9,58.3,104600,13.3,88500,15.8,530,3.2,33,15.2,חילוני,1,1.3,6.7,40.3,96.9,49.6,45.6
מענית,344,,,870,39.6,2820.5,1,יהודים,98.4,,3.3,36.1,51.6,12.2,937.7,33,32,35,19.5,78.2,91.7,8.3,17.6,10.4,64,5.8,3.9,19.2,7.1,ישראל,28,29,26,2.1,3.9,6.2,36.2,74.8,80,13.4,39.7,30.6,66.6,134200,24.4,90400,9.9,310,2.7,24.2,12,חילוני,1,1.6,12.3,38.8,51.2,44.8,51.4
מעש,230,,,910,14.7,1658.8,1,יהודים,97.3,,3,29.9,50.2,19.9,991.7,37,36,37,16.5,84.8,87.1,12.9,25.2,19.2,57.4,6.9,3.9,26.8,5,ישראל,27,29,24,1.9,6.8,19.5,43.6,63,78.7,21.3,41.3,18.5,81,148800,31.7,62700,24.9,330,2.7,14.3,14,חילוני,1,1.7,5.2,50.3,82.8,40,34
מפלסים,668,,,850,-4.3,2189.8,1,יהודים,85,,5.5,26.7,58.8,14.5,701.3,35,35,34,20,74.9,79.1,20.9,6.2,2.4,50.2,4.6,9.5,12.7,23.1,ישראל,26,27,25,1.7,9.9,33.7,41,75.6,84.4,8.8,41,16,76.9,145400,33.5,82900,39.9,350,2.3,12.3,16.2,חילוני,1,1.6,25.6,29.1,51,25.4,49.5
מצדות יהודה,3745,,,750,90.1,4158.4,1,יהודים,124.9,11.8,1.3,56.2,39.4,4.4,1539.8,18,18,17,36.5,84.8,90.2,9.8,36.1,12.4,64.1,2.6,10.1,14.4,8.7,ישראל,23,24,23,3.3,7.5,64.1,43.8,79.5,88.5,11.5,37.5,15,65.3,116000,20.7,81900,25,150,4.3,43.6,20.6,דתי/ דתי מאוד,3,2.1,1.1,43.7,64,79.7,14.1
מצובה,325,,,1180,110.2,3456.6,1,יהודים,100.3,,2.4,40.7,51.5,7.8,943.2,30,27,33,5.3,84.8,89.2,10.8,8.1,2.1,56.7,5.1,13.5,22.3,2.3,ישראל,26,27,25,1.9,4.8,26.1,37.3,76.3,85.5,12.7,41.9,17.3,81.2,159800,38.6,118900,43.8,370,3.2,11.8,26.7,חילוני,1,2.1,8.1,59.3,73.5,75.4,23.6
מצליח,757,,,1410,15.5,2076.2,1,יהודים,107.5,,3,30.3,56.7,13.1,765,33,32,34,33.5,86.7,89.3,10.7,4.4,1.6,55.7,7.2,32.3,4.3,0.6,ישראל,24,27,22,2.2,5.8,29.6,17.6,75.9,84.5,15.5,42.3,14.9,82.2,127400,24.9,79200,24.1,440,3.1,28,24.5,מסורתי,2,1.3,6.2,55.3,80.7,49.2,28.1
מצפה,58,,,170,5.2,1183,1,יהודים,104.6,,8.5,22.9,52.1,25,919.3,39,34,43,50,91.6,85.8,14.2,22.5,13.8,58.2,7.4,8.6,25.8,,ישראל,25,27,25,2.4,9.7,17.5,35.9,72.5,70.4,29.6,34.7,35.8,70.1,127400,21.9,55100,27.3,60,2.6,20,14.1,חילוני,1,1.4,12.2,52.8,90.3,59.2,22.1
"מצפה אבי""ב",1222,,,1070,54.9,3242.5,1,יהודים,115.2,,,41.2,53.7,5.1,862.1,29,25,35,17.5,75.9,94.6,5.4,18.1,5.8,66.8,3,6.1,20.5,3.5,ישראל,26,27,25,2,3.7,5,50.6,83.5,85.7,14.3,43,33.4,81.7,185100,45.8,168100,45.3,310,3.5,24.9,27.6,חילוני,1,2.2,5.5,79.1,81.6,75,18.9
מצפה אילן,1370,,,790,,5259.2,1,יהודים,97.7,2,,63.8,36.1,0.1,1771.1,14,15,14,28.5,100,97.3,2.7,40.2,26,83.7,1.8,5.2,5.1,4.2,ישראל,24,25,23,3,0.7,,60.6,79.6,89.7,10.3,41.3,14.9,82.9,190600,43.6,61100,16.5,140,5.5,60.5,34.7,דתי/ דתי מאוד,3,2.5,,85.6,93.8,67.2,23.1
מצפה יריחו,3576,,,2670,53.7,8350.7,1,יהודים,117,6.1,0.3,51.4,43.3,5.3,1308.1,19,19,19,51.4,93.4,87.1,12.9,49.9,30.2,62.4,4.4,6.6,11.5,15.1,ישראל,22,23,22,3.4,1.9,11.4,37.6,75.7,89.2,10.8,35.7,18.3,64.8,105700,15.7,60400,12.6,580,4.3,47,22.3,דתי/ דתי מאוד,3,2,17.8,31.4,54.3,55.2,41.3
מצפה נטופה,1190,,,980,49.8,4918.1,1,יהודים,101.4,,0.3,48.1,43.8,8.2,1285.3,22,20,24,38.8,98.8,84.2,15.8,57.4,42.5,61.1,2.3,7.8,13.9,14.9,ישראל,24,24,23,3.3,2,22,62.2,76,87.9,12.1,41.7,16.2,78.2,185300,42.8,102400,23.3,240,4.1,31.3,26.8,דתי/ דתי מאוד,3,2.3,7.5,68.1,89.3,70.5,28.4
מצפה רמון,99,,,5390,11.1,2493.1,1,יהודים,110,6,1.1,38.8,53.7,7.5,862.7,25,25,25,29,58,80.5,19.5,15.6,8.1,53.6,4.3,11.9,23.7,6.5,ישראל,24,25,23,2.1,9.8,40,24.3,73,80.6,19.2,34.8,30.7,16.6,71500,7.5,74600,10.8,1850,2.7,23.2,21.8,חילוני,1,1.3,31.4,16,55.8,39.6,51.6
מצפה שלם,3610,,,260,55.7,2644,1,יהודים,140.9,,5.7,37.4,59.4,3.3,684.1,34,25,42,6.9,54.6,88.6,11.4,28.2,10.6,51.1,9.1,15.3,19.4,5.1,ישראל,26,28,26,1.8,9.4,52.5,26.6,87.4,88.2,11.8,37.3,54.7,41,110500,18.9,103300,44.7,80,2.4,16.8,20.2,חילוני,1,1.5,13,22.9,71.4,46.8,43.6
מצר,648,,,450,12.9,1935.1,1,יהודים,89.5,,6.5,31.6,48.9,19.5,1046.5,36,33,37,23.3,64.9,82.1,17.9,3.5,2.8,54.1,4.3,2.2,15,24.5,ישראל,27,28,27,2.1,4,10.8,40.2,83.2,72.1,5.7,36.8,83.1,48.8,145700,27.8,50400,,170,2.5,24.5,15.5,חילוני,1,1.4,15,39.8,42.5,20.1,15.2
מרגליות,843,,,440,-1.5,1703.3,1,יהודים,138.4,,7,22.1,64.3,13.6,554.9,32,29,36,14.6,71.6,84.4,15.6,5.7,,51.4,37.8,6,3.8,1,ישראל,26,27,25,2.3,13.2,39.4,14.3,75.4,77.1,22.9,36.3,,72.1,85700,8.1,130800,28.9,170,2.5,9,18.6,מסורתי,2,0.8,24.2,44.2,77.2,53.7,29.9
מרום גולן,4101,,,790,36.2,2206,1,יהודים,106.9,,2.3,36.1,52.1,11.8,921,36,35,37,21,89,89.4,10.6,4.9,2.1,58,6.8,10.1,19.7,5.4,ישראל,26,26,26,2,5.1,17.6,28.6,83,79.3,15.5,41,54.9,48.6,120900,20.6,88400,23.1,250,3.1,20.9,20.1,חילוני,1,1.9,7,46,74.2,54.5,22.9
מרחב עם,1340,,,620,332.6,5199.9,1,יהודים,102.4,,,62.6,36.8,0.6,1717.1,14,13,14,49,95.1,95.1,4.9,40.6,3.5,77.9,3.6,6.7,5.1,6.7,ישראל,24,25,23,2.7,1.7,21.1,40.4,80.6,78.1,20.4,38.3,30.2,57.6,88800,18.8,71300,11.5,120,5.1,54.3,27.3,דתי/ דתי מאוד,3,1.9,6.2,46.7,69,45.4,48.5
